,original,reverse,half,quarter,closure2,continuity2,illusory2,illusory_complex_2_2
0,98.13,45.67,60.41,47.13,97.46,96.78,33.89,36.89
1,99.15,43.44,67.84,41.33,97.97,97.56,33.4,35.54
2,98.95,37.02,65.82,46.87,98.26,98.16,30.15,31.25
3,99.36,40.34,61.98,37.82,98.63,98.58,30.99,33.27
4,99.36,40.0,60.56,43.78,98.99,98.66,33.35,35.76
5,99.21,39.71,64.57,41.06,98.15,98.11,31.84,31.5
6,99.39,34.88,63.7,44.04,98.74,98.78,27.55,36.49
7,99.32,35.83,66.9,41.98,98.33,97.87,28.82,30.95
8,99.34,32.91,68.54,43.4,98.73,98.31,27.03,35.15
9,99.33,32.2,62.2,44.62,98.71,98.25,25.03,39.03
10,99.4,30.23,62.06,43.06,98.73,98.12,25.14,38.76
11,98.84,29.15,62.45,37.34,96.87,95.26,22.57,32.57
12,99.43,31.05,66.75,41.41,98.91,98.52,24.37,35.58
13,99.42,33.03,62.56,39.03,97.98,98.03,26.78,34.0
14,99.36,31.79,64.42,39.65,98.76,98.17,25.12,32.7
15,99.39,30.97,66.07,40.82,98.49,97.81,24.81,40.98
16,99.54,36.81,65.32,42.86,99.14,98.65,28.09,43.96
17,99.45,32.54,60.19,37.02,98.73,98.2,26.93,37.78
18,99.39,39.96,66.41,43.55,98.43,98.07,30.8,40.38
19,99.5,39.69,63.19,38.45,98.8,98.62,28.36,37.37
20,99.44,35.24,62.55,40.81,98.66,98.4,27.28,38.03
21,99.4,38.25,60.98,36.9,98.23,98.07,29.17,37.7
22,99.49,34.89,64.52,43.76,98.73,98.34,26.84,38.1
23,99.46,35.29,64.94,40.58,98.74,98.59,27.55,39.55
24,99.47,35.99,66.75,42.69,98.94,98.51,24.78,41.92
25,99.43,40.97,67.85,43.33,98.59,98.26,28.29,38.26
26,99.47,40.58,67.44,42.63,98.71,98.46,27.87,37.13
27,99.52,40.88,68.09,41.69,98.8,98.53,28.08,37.73
28,99.4,39.13,67.86,42.07,98.76,98.48,26.47,36.47
29,99.38,41.68,66.72,46.58,98.3,98.27,26.35,38.59
30,99.47,40.52,65.86,43.84,98.54,98.38,26.9,37.59
31,99.2,41.1,63.59,43.55,98.39,97.92,31.85,35.02
32,99.44,34.63,67.08,40.45,98.73,98.47,25.62,38.13
33,99.39,34.05,67.14,44.14,98.67,98.47,26.33,32.12
34,99.34,35.59,66.17,42.51,98.72,98.31,27.08,33.73
35,99.44,32.44,64.14,40.43,98.82,98.57,24.3,32.45
36,99.37,34.92,63.07,41.1,98.32,98.24,25.2,36.32
37,99.43,34.98,65.0,41.3,98.75,98.38,25.86,38.12
38,99.43,33.9,63.73,41.5,98.54,98.22,25.54,37.48
39,99.5,34.43,62.38,42.58,98.73,98.46,25.61,40.97
40,99.44,34.41,62.54,43.25,98.77,98.45,25.95,40.93
41,99.47,34.7,62.68,43.14,98.74,98.4,25.97,40.9
42,99.38,33.92,62.79,43.08,98.74,98.42,26.05,40.41
43,99.45,34.42,62.86,43.4,98.83,98.49,26.08,40.6
44,99.46,33.82,63.09,43.01,98.75,98.46,26.07,40.89
45,99.47,34.6,63.28,42.84,98.79,98.39,26.04,40.82
46,99.48,33.92,62.67,43.12,98.69,98.34,26.0,39.81
47,99.5,34.3,62.65,43.11,98.7,98.52,26.11,39.84
48,99.5,34.32,63.14,43.31,98.69,98.46,26.09,39.49
49,99.49,34.67,62.88,43.2,98.78,98.47,26.29,39.7
50,99.46,34.66,61.61,41.17,98.41,98.24,25.18,38.49
51,99.38,34.54,63.41,39.9,98.19,97.97,25.83,35.89
52,99.43,31.6,60.67,38.54,98.58,98.4,23.72,39.84
53,99.42,32.54,61.56,40.27,99.05,98.43,24.84,36.38
54,99.45,33.67,63.69,43.33,98.89,98.61,25.21,38.29
55,99.52,34.08,63.77,42.83,98.95,98.59,25.53,39.32
56,99.5,33.45,63.96,42.58,98.97,98.65,24.95,38.54
57,99.44,34.67,63.93,41.98,98.89,98.54,25.73,38.05
58,99.45,34.57,64.1,42.51,98.95,98.64,25.9,38.66
59,99.49,34.95,64.02,41.94,98.97,98.54,25.93,38.25
60,99.44,34.96,64.1,42.14,98.95,98.57,25.95,38.21
61,99.46,34.38,64.3,41.75,98.97,98.64,26.23,37.91
62,99.45,34.82,63.93,42.06,98.97,98.56,26.03,38.22
63,99.45,34.63,63.97,42.11,98.96,98.64,26.02,37.83
64,99.48,34.54,63.96,42.15,98.88,98.56,26.22,38.06
65,99.49,34.23,64.12,41.92,98.93,98.63,25.94,38.08
66,99.45,34.27,64.52,41.64,98.95,98.57,25.63,38.16
67,99.48,34.49,64.04,41.34,99.05,98.59,26.04,38.18
68,99.47,34.74,63.95,41.6,98.98,98.51,26.08,38.16
69,99.47,34.75,64.19,41.84,98.96,98.61,25.93,37.86
70,99.52,34.26,64.06,41.77,98.97,98.57,26.11,38.61
71,99.52,34.37,64.22,41.98,99.01,98.59,26.25,38.22
72,99.46,34.26,64.05,41.2,98.98,98.62,26.02,38.3
73,99.5,34.4,64.05,41.63,98.98,98.57,25.95,38.2
74,99.48,34.07,63.88,41.7,98.95,98.54,25.99,38.07
75,99.46,34.51,63.86,41.58,98.97,98.68,25.92,38.65
76,99.47,35.55,64.01,42.68,98.9,98.59,26.88,38.88
77,99.51,35.48,64.24,42.67,98.92,98.66,26.78,38.51
78,99.53,35.22,64.28,42.57,98.93,98.6,26.39,38.84
79,99.48,35.34,64.48,42.76,98.92,98.6,26.78,38.88
80,99.43,35.29,64.51,42.21,98.94,98.62,26.16,38.59
81,99.47,34.75,64.35,42.33,98.94,98.62,26.72,38.5
82,99.48,35.3,64.52,42.74,98.93,98.64,26.46,38.71
83,99.5,35.18,64.26,42.29,98.97,98.58,26.41,38.6
84,99.48,35.4,64.64,42.07,98.99,98.69,26.28,38.49
85,99.47,35.21,64.26,42.07,98.97,98.61,26.31,38.89
86,99.47,35.36,64.44,42.08,98.9,98.64,26.81,39.15
87,99.47,35.43,64.32,42.28,98.93,98.6,26.87,38.36
88,99.47,35.48,64.53,42.17,98.92,98.6,26.86,38.53
89,99.48,35.38,64.45,42.37,98.94,98.69,26.72,38.77
90,99.47,34.82,64.45,42.13,98.89,98.7,26.42,38.7
91,99.52,35.25,64.43,42.21,98.91,98.67,26.56,38.89
92,99.48,35.3,64.4,42.03,98.99,98.6,26.42,38.96
93,99.51,35.27,64.7,42.15,98.98,98.62,26.85,38.96
94,99.46,35.27,64.55,42.15,98.97,98.62,26.7,38.52
95,99.48,35.38,64.59,42.29,98.92,98.64,26.47,38.74
96,99.53,35.32,64.6,41.65,98.91,98.53,26.61,38.96
97,99.49,35.35,64.56,42.22,99.0,98.64,26.39,38.93
98,99.42,34.36,59.55,40.85,98.58,98.39,26.03,43.94
99,99.42,33.1,62.97,42.35,98.54,98.23,26.21,38.9
